statement,label,statement_rephrased,statement1,label1,city1,country1,correct_country1,statement2,label2,city2,country2,correct_country2
It is the case both that the city of Matola is in Mozambique and that the city of Zaria is in Nigeria.,1,"It is true that the city known as Matola is geographically situated within the territorial boundaries of the country called Mozambique, and simultaneously, it is also the case that the city identified as Zaria is located within the national borders of the country known as Nigeria.",The city of Matola is in Mozambique.,1,Matola,Mozambique,Mozambique,The city of Zaria is in Nigeria.,1,Zaria,Nigeria,Nigeria
It is the case both that the city of Frankfurt am Main is in Germany and that the city of Panshan is in China.,1,"It is true that the city known as Frankfurt am Main is geographically located within the territorial boundaries of the country called Germany, and simultaneously, it is also the case that the city identified as Panshan is situated within the national borders of the country known as China.",The city of Frankfurt am Main is in Germany.,1,Frankfurt am Main,Germany,Germany,The city of Panshan is in China.,1,Panshan,China,China
It is the case both that the city of Mysore is in India and that the city of Antalya is in Turkey.,1,"It is true that the city known as Mysore is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Antalya is situated within the national borders of the country known as Turkey.",The city of Mysore is in India.,1,Mysore,India,India,The city of Antalya is in Turkey.,1,Antalya,Turkey,Turkey
It is the case both that the city of Meknes is in Morocco and that the city of Orumiyeh is in Iran.,1,"It is true that the city known as Meknes is geographically situated within the territorial boundaries of the country called Morocco, and simultaneously, it is also the case that the city identified as Orumiyeh is located within the national borders of the country known as Iran.",The city of Meknes is in Morocco.,1,Meknes,Morocco,Morocco,The city of Orumiyeh is in Iran.,1,Orumiyeh,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Sangli is in India and that the city of Kandahar is in Afghanistan.,1,"It is true that the city known as Sangli is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Kandahar is situated within the national borders of the country known as Afghanistan.",The city of Sangli is in India.,1,Sangli,India,India,The city of Kandahar is in Afghanistan.,1,Kandahar,Afghanistan,Afghanistan
It is the case both that the city of San Pedro Sula is in Honduras and that the city of Bokaro is in India.,1,"It is true that the city known as San Pedro Sula is geographically located within the territorial boundaries of the country called Honduras, and simultaneously, it is also the case that the city identified as Bokaro is situated within the national borders of the country known as India.",The city of San Pedro Sula is in Honduras.,1,San Pedro Sula,Honduras,Honduras,The city of Bokaro is in India.,1,Bokaro,India,India
It is the case both that the city of Chizhou is in China and that the city of Oyo is in Nigeria.,1,"It is true that the city known as Chizhou is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Oyo is located within the national borders of the country known as Nigeria.",The city of Chizhou is in China.,1,Chizhou,China,China,The city of Oyo is in Nigeria.,1,Oyo,Nigeria,Nigeria
It is the case both that the city of New South Memphis is in the United States and that the city of Niamey is in Niger.,1,"It is true that the city known as New South Memphis is geographically located within the territorial boundaries of the country called the United States, and simultaneously, it is also the case that the city identified as Niamey is situated within the national borders of the country known as Niger.",The city of New South Memphis is in the United States.,1,New South Memphis,United States,United States,The city of Niamey is in Niger.,1,Niamey,Niger,Niger
It is the case both that the city of Palembang is in Indonesia and that the city of Krakow is in Poland.,1,"It is true that the city known as Palembang is geographically situated within the territorial boundaries of the country called Indonesia, and simultaneously, it is also the case that the city identified as Krakow is located within the national borders of the country known as Poland, meaning that Palembang is a city that exists within the country of Indonesia, while Krakow is a city that exists within the country of Poland.",The city of Palembang is in Indonesia.,1,Palembang,Indonesia,Indonesia,The city of Krakow is in Poland.,1,Krakow,Poland,Poland
It is the case both that the city of Jieyang is in China and that the city of Leon de los Aldama is in Mexico.,1,"It is true that the city known as Jieyang is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Leon de los Aldama is located within the national borders of the country known as Mexico.",The city of Jieyang is in China.,1,Jieyang,China,China,The city of Leon de los Aldama is in Mexico.,1,Leon de los Aldama,Mexico,Mexico
It is the case both that the city of Zaporizhzhya is in Ukraine and that the city of Maracay is in Venezuela.,1,"It is true that the city known as Zaporizhzhya is geographically situated within the territorial boundaries of the country called Ukraine, and simultaneously, it is also the case that the city identified as Maracay is located within the national borders of the country known as Venezuela.",The city of Zaporizhzhya is in Ukraine.,1,Zaporizhzhya,Ukraine,Ukraine,The city of Maracay is in Venezuela.,1,Maracay,"Venezuela, Bolivarian Rep. of","Venezuela, Bolivarian Rep. of"
It is the case both that the city of Aligarh is in India and that the city of Chandigarh is in India.,1,"It is true that the city known as Aligarh is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Chandigarh is situated within the same national borders, meaning that both Aligarh and Chandigarh are cities that exist within the country of India.",The city of Aligarh is in India.,1,Aligarh,India,India,The city of Chandigarh is in India.,1,Chandigarh,India,India
It is the case both that the city of Fushun is in China and that the city of Bhiwandi is in India.,1,"It is true that the city known as Fushun is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Bhiwandi is situated within the national borders of the country known as India.",The city of Fushun is in China.,1,Fushun,China,China,The city of Bhiwandi is in India.,1,Bhiwandi,India,India
It is the case both that the city of Al Ahmadi is in Kuwait and that the city of Jos is in Nigeria.,1,"It is true that the city known as Al Ahmadi is geographically situated within the territorial boundaries of the country called Kuwait, and simultaneously, it is also the case that the city identified as Jos is located within the national borders of the country known as Nigeria.",The city of Al Ahmadi is in Kuwait.,1,Al Ahmadi,Kuwait,Kuwait,The city of Jos is in Nigeria.,1,Jos,Nigeria,Nigeria
It is the case both that the city of Linfen is in China and that the city of Cancun is in Mexico.,1,"It is true that the city known as Linfen is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Cancun is situated within the national borders of the country known as Mexico.",The city of Linfen is in China.,1,Linfen,China,China,The city of Cancun is in Mexico.,1,Cancun,Mexico,Mexico
It is the case both that the city of Tolyatti is in Russia and that the city of Xingtai is in China.,1,"It is true that the city known as Tolyatti is geographically situated within the territorial boundaries of the country called Russia, and simultaneously, it is also the case that the city identified as Xingtai is located within the national borders of the country known as China.",The city of Tolyatti is in Russia.,1,Tolyatti,Russian Federation,Russian Federation,The city of Xingtai is in China.,1,Xingtai,China,China
It is the case both that the city of Karol Bagh is in India and that the city of Shuangyashan is in China.,1,"It is true that the city known as Karol Bagh is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Shuangyashan is situated within the national borders of the country known as China.",The city of Karol Bagh is in India.,1,Karol Bagh,India,India,The city of Shuangyashan is in China.,1,Shuangyashan,China,China
It is the case both that the city of Shizuoka is in Japan and that the city of Qujing is in China.,1,"It is true that the city known as Shizuoka is geographically situated within the territorial boundaries of the country called Japan, and simultaneously, it is also the case that the city identified as Qujing is located within the national borders of the country known as China.",The city of Shizuoka is in Japan.,1,Shizuoka,Japan,Japan,The city of Qujing is in China.,1,Qujing,China,China
It is the case both that the city of Tanggu is in China and that the city of Lodz is in Poland.,1,"It is true that the city known as Tanggu is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Lodz is located within the national borders of the country known as Poland.",The city of Tanggu is in China.,1,Tanggu,China,China,The city of Lodz is in Poland.,1,Lodz,Poland,Poland
It is the case both that the city of Yunfu is in China and that the city of Kolhapur is in India.,1,"It is true that the city known as Yunfu is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Kolhapur is situated within the national borders of the country known as India.",The city of Yunfu is in China.,1,Yunfu,China,China,The city of Kolhapur is in India.,1,Kolhapur,India,India
It is the case both that the city of Cheonan is in South Korea and that the city of Pietermaritzburg is in South Africa.,1,"It is true that the city known as Cheonan is geographically situated within the territorial boundaries of the country called South Korea, and simultaneously, it is also the case that the city identified as Pietermaritzburg is located within the national borders of the country known as South Africa.",The city of Cheonan is in South Korea.,1,Cheonan,"Korea, Republic of","Korea, Republic of",The city of Pietermaritzburg is in South Africa.,1,Pietermaritzburg,South Africa,South Africa
It is the case both that the city of Antananarivo is in Madagascar and that the city of Homs is in Syria.,1,"It is true that the city known as Antananarivo is geographically situated within the territorial boundaries of the island nation called Madagascar, and simultaneously, it is also the case that the city identified as Homs is located within the national borders of the country known as Syria.",The city of Antananarivo is in Madagascar.,1,Antananarivo,Madagascar,Madagascar,The city of Homs is in Syria.,1,Homs,Syrian Arab Republic,Syrian Arab Republic
It is the case both that the city of Goyang-si is in South Korea and that the city of Tiruchirappalli is in India.,1,"It is true that the city known as Goyang-si is geographically situated within the territorial boundaries of the country called South Korea, and simultaneously, it is also the case that the city identified as Tiruchirappalli is located within the national borders of the country known as India.",The city of Goyang-si is in South Korea.,1,Goyang-si,"Korea, Republic of","Korea, Republic of",The city of Tiruchirappalli is in India.,1,Tiruchirappalli,India,India
It is the case both that the city of Las Pinas is in the Philippines and that the city of Bucaramanga is in Colombia.,1,"It is true that the city known as Las Pinas is geographically situated within the territorial boundaries of the country called the Philippines, and simultaneously, it is also the case that the city identified as Bucaramanga is located within the national borders of the country known as Colombia.",The city of Las Pinas is in the Philippines.,1,Las Pinas,Philippines,Philippines,The city of Bucaramanga is in Colombia.,1,Bucaramanga,Colombia,Colombia
It is the case both that the city of San Luis Potosi is in Mexico and that the city of Guilin is in China.,1,"It is true that the city known as San Luis Potosi is geographically located within the territorial boundaries of the country called Mexico, and simultaneously, it is also the case that the city identified as Guilin is situated within the national borders of the country known as China.",The city of San Luis Potosi is in Mexico.,1,San Luis Potosi,Mexico,Mexico,The city of Guilin is in China.,1,Guilin,China,China
It is the case both that the city of Maceio is in Brazil and that the city of Ribeirao Preto is in Brazil.,1,"It is true that the city known as Maceio is geographically situated within the territorial boundaries of the country called Brazil, and simultaneously, it is also the case that the city identified as Ribeirao Preto is located within the same national borders, meaning that both Maceio and Ribeirao Preto are cities that exist within the country of Brazil.",The city of Maceio is in Brazil.,1,Maceio,Brazil,Brazil,The city of Ribeirao Preto is in Brazil.,1,Ribeirao Preto,Brazil,Brazil
It is the case both that the city of Vijayawada is in India and that the city of Acapulco de Juarez is in Mexico.,1,"It is true that the city known as Vijayawada is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Acapulco de Juarez is situated within the national borders of the country known as Mexico.",The city of Vijayawada is in India.,1,Vijayawada,India,India,The city of Acapulco de Juarez is in Mexico.,1,Acapulco de Juarez,Mexico,Mexico
It is the case both that the city of Astrakhan is in Russia and that the city of Yekaterinburg is in Russia.,1,"It is true that the city known as Astrakhan is geographically situated within the territorial boundaries of the country called Russia, and simultaneously, it is also the case that the city identified as Yekaterinburg is located within the same national borders, meaning that both Astrakhan and Yekaterinburg are cities that exist within the Russian Federation.",The city of Astrakhan is in Russia.,1,Astrakhan,Russian Federation,Russian Federation,The city of Yekaterinburg is in Russia.,1,Yekaterinburg,Russian Federation,Russian Federation
It is the case both that the city of Ordos is in China and that the city of Beijing is in China.,1,"It is true that the city known as Ordos is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Beijing is located within the same national borders, meaning that both Ordos and Beijing are cities that exist within the country of China.",The city of Ordos is in China.,1,Ordos,China,China,The city of Beijing is in China.,1,Beijing,China,China
It is the case both that the city of Bokaro is in India and that the city of Xuanzhou is in China.,1,"It is true that the city known as Bokaro is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Xuanzhou is situated within the national borders of the country known as China.",The city of Bokaro is in India.,1,Bokaro,India,India,The city of Xuanzhou is in China.,1,Xuanzhou,China,China
It is the case both that the city of Guwahati is in India and that the city of Xuanzhou is in China.,1,"It is true that the city known as Guwahati is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Xuanzhou is situated within the national borders of the country known as China.",The city of Guwahati is in India.,1,Guwahati,India,India,The city of Xuanzhou is in China.,1,Xuanzhou,China,China
It is the case both that the city of Zagreb is in Croatia and that the city of Recife is in Brazil.,1,"It is true that the city known as Zagreb is geographically situated within the territorial boundaries of the country called Croatia, and simultaneously, it is also the case that the city identified as Recife is located within the national borders of the country known as Brazil.",The city of Zagreb is in Croatia.,1,Zagreb,Croatia,Croatia,The city of Recife is in Brazil.,1,Recife,Brazil,Brazil
It is the case both that the city of Tiruchirappalli is in India and that the city of Marrakesh is in Morocco.,1,"It is true that the city known as Tiruchirappalli is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Marrakesh is situated within the national borders of the country known as Morocco.",The city of Tiruchirappalli is in India.,1,Tiruchirappalli,India,India,The city of Marrakesh is in Morocco.,1,Marrakesh,Morocco,Morocco
It is the case both that the city of Jiaozuo is in China and that the city of Juiz de Fora is in Brazil.,1,"It is true that the city known as Jiaozuo is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Juiz de Fora is situated within the national borders of the country known as Brazil.",The city of Jiaozuo is in China.,1,Jiaozuo,China,China,The city of Juiz de Fora is in Brazil.,1,Juiz de Fora,Brazil,Brazil
It is the case both that the city of Arequipa is in Peru and that the city of Belo Horizonte is in Brazil.,1,"It is true that the city known as Arequipa is geographically situated within the territorial boundaries of the country called Peru, and simultaneously, it is also the case that the city identified as Belo Horizonte is located within the national borders of the country known as Brazil.",The city of Arequipa is in Peru.,1,Arequipa,Peru,Peru,The city of Belo Horizonte is in Brazil.,1,Belo Horizonte,Brazil,Brazil
It is the case both that the city of Marrakesh is in Morocco and that the city of Leon de los Aldama is in Mexico.,1,"It is true that the city known as Marrakesh is geographically situated within the territorial boundaries of the country called Morocco, and simultaneously, it is also the case that the city identified as Leon de los Aldama is located within the national borders of the country known as Mexico.",The city of Marrakesh is in Morocco.,1,Marrakesh,Morocco,Morocco,The city of Leon de los Aldama is in Mexico.,1,Leon de los Aldama,Mexico,Mexico
It is the case both that the city of Port-au-Prince is in Haiti and that the city of Porto Alegre is in Brazil.,1,"It is true that the city known as Port-au-Prince is geographically situated within the territorial boundaries of the country called Haiti, and simultaneously, it is also the case that the city identified as Porto Alegre is located within the national borders of the country known as Brazil.",The city of Port-au-Prince is in Haiti.,1,Port-au-Prince,Haiti,Haiti,The city of Porto Alegre is in Brazil.,1,Porto Alegre,Brazil,Brazil
It is the case both that the city of Laibin is in China and that the city of Dehra Dun is in India.,1,"It is true that the city known as Laibin is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Dehra Dun is located within the national borders of the country known as India.",The city of Laibin is in China.,1,Laibin,China,China,The city of Dehra Dun is in India.,1,Dehra Dun,India,India
It is the case both that the city of Guigang is in China and that the city of Ya'an is in China.,1,"It is true that the city known as Guigang is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Ya'an is located within the same national borders, meaning that both Guigang and Ya'an are cities that exist within the country of China.",The city of Guigang is in China.,1,Guigang,China,China,The city of Ya'an is in China.,1,Ya'an,China,China
It is the case both that the city of Siliguri is in India and that the city of Makhachkala is in Russia.,1,"It is true that the city known as Siliguri is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Makhachkala is situated within the national borders of the country known as Russia.",The city of Siliguri is in India.,1,Siliguri,India,India,The city of Makhachkala is in Russia.,1,Makhachkala,Russian Federation,Russian Federation
It is the case both that the city of Qom is in Iran and that the city of Nova Iguacu is in Brazil.,1,"It is true that the city known as Qom is geographically situated within the territorial boundaries of the country called Iran, and simultaneously, it is also the case that the city identified as Nova Iguacu is located within the national borders of the country known as Brazil, meaning that Qom is a city that exists within the country of Iran, while Nova Iguacu is a city that exists within the country of Brazil.",The city of Qom is in Iran.,1,Qom,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Nova Iguacu is in Brazil.,1,Nova Iguacu,Brazil,Brazil
It is the case both that the city of Xiaogan is in China and that the city of Niigata is in Japan.,1,"It is true that the city known as Xiaogan is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Niigata is situated within the national borders of the country known as Japan.",The city of Xiaogan is in China.,1,Xiaogan,China,China,The city of Niigata is in Japan.,1,Niigata,Japan,Japan
It is the case both that the city of Maoming is in China and that the city of Guang'an is in China.,1,"It is true that the city known as Maoming is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also a fact that the city identified as Guang'an is located within the same national borders, meaning that both Maoming and Guang'an are cities that exist and are enclosed within the geographical boundaries of the country of China.",The city of Maoming is in China.,1,Maoming,China,China,The city of Guang'an is in China.,1,Guang'an,China,China
It is the case both that the city of Chizhou is in China and that the city of Douala is in Cameroon.,1,"It is true that the city known as Chizhou is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Douala is located within the national borders of the country known as Cameroon.",The city of Chizhou is in China.,1,Chizhou,China,China,The city of Douala is in Cameroon.,1,Douala,Cameroon,Cameroon
It is the case both that the city of Longyan is in China and that the city of Guntur is in India.,1,"It is true that the city known as Longyan is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Guntur is situated within the national borders of the country known as India.",The city of Longyan is in China.,1,Longyan,China,China,The city of Guntur is in India.,1,Guntur,India,India
It is the case both that the city of Jilin is in China and that the city of Sharjah is in the United Arab Emirates.,1,"It is true that the city known as Jilin is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Sharjah is situated within the national borders of the country known as the United Arab Emirates.",The city of Jilin is in China.,1,Jilin,China,China,The city of Sharjah is in the United Arab Emirates.,1,Sharjah,United Arab Emirates,United Arab Emirates
It is the case both that the city of Shijiazhuang is in China and that the city of Bhiwandi is in India.,1,"It is true that the city known as Shijiazhuang is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Bhiwandi is situated within the national borders of the country known as India.",The city of Shijiazhuang is in China.,1,Shijiazhuang,China,China,The city of Bhiwandi is in India.,1,Bhiwandi,India,India
It is the case both that the city of Rangpur is in Bangladesh and that the city of Chongqing is in China.,1,"It is true that the city known as Rangpur is geographically situated within the territorial boundaries of the country called Bangladesh, and simultaneously, it is also the case that the city identified as Chongqing is located within the national borders of the country known as China.",The city of Rangpur is in Bangladesh.,1,Rangpur,Bangladesh,Bangladesh,The city of Chongqing is in China.,1,Chongqing,China,China
It is the case both that the city of Chelyabinsk is in Russia and that the city of Hezhou is in China.,1,"It is true that the city known as Chelyabinsk is geographically situated within the territorial boundaries of the country called Russia, and simultaneously, it is also the case that the city identified as Hezhou is located within the national borders of the country known as China.",The city of Chelyabinsk is in Russia.,1,Chelyabinsk,Russian Federation,Russian Federation,The city of Hezhou is in China.,1,Hezhou,China,China
It is the case both that the city of Dhanbad is in India and that the city of Jiangyin is in China.,1,"It is true that the city known as Dhanbad is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Jiangyin is situated within the national borders of the country known as China.",The city of Dhanbad is in India.,1,Dhanbad,India,India,The city of Jiangyin is in China.,1,Jiangyin,China,China
It is the case both that the city of Maceio is in Brazil and that the city of Baise is in China.,1,"It is true that the city known as Maceio is geographically located within the territorial boundaries of the country called Brazil, and simultaneously, it is also the case that the city identified as Baise is situated within the national borders of the country known as China.",The city of Maceio is in Brazil.,1,Maceio,Brazil,Brazil,The city of Baise is in China.,1,Baise,China,China
It is the case both that the city of Laiwu is in China and that the city of Odesa is in Ukraine.,1,"It is true that the city known as Laiwu is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Odesa is located within the national borders of the country known as Ukraine.",The city of Laiwu is in China.,1,Laiwu,China,China,The city of Odesa is in Ukraine.,1,Odesa,Ukraine,Ukraine
It is the case both that the city of Xinyang is in China and that the city of Basrah is in Iraq.,1,"It is true that the city known as Xinyang is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Basrah is situated within the national borders of the country known as Iraq.",The city of Xinyang is in China.,1,Xinyang,China,China,The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq
It is the case both that the city of Himeji is in Japan and that the city of Huzhou is in China.,1,"It is true that the city known as Himeji is geographically situated within the territorial boundaries of the country called Japan, and simultaneously, it is also the case that the city identified as Huzhou is located within the national borders of the country known as China.",The city of Himeji is in Japan.,1,Himeji,Japan,Japan,The city of Huzhou is in China.,1,Huzhou,China,China
It is the case both that the city of Ya'an is in China and that the city of Kitakyushu is in Japan.,1,"It is true that the city known as Ya'an is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Kitakyushu is situated within the national borders of the country known as Japan.",The city of Ya'an is in China.,1,Ya'an,China,China,The city of Kitakyushu is in Japan.,1,Kitakyushu,Japan,Japan
It is the case both that the city of Nampula is in Mozambique and that the city of Kuantan is in Malaysia.,1,"It is true that the city known as Nampula is geographically situated within the territorial boundaries of the country called Mozambique, and simultaneously, it is also the case that the city identified as Kuantan is located within the national borders of the country known as Malaysia.",The city of Nampula is in Mozambique.,1,Nampula,Mozambique,Mozambique,The city of Kuantan is in Malaysia.,1,Kuantan,Malaysia,Malaysia
It is the case both that the city of Jeddah is in Saudi Arabia and that the city of Sangli is in India.,1,"It is true that the city known as Jeddah is geographically located within the territorial boundaries of the country called Saudi Arabia, and simultaneously, it is also the case that the city identified as Sangli is situated within the national borders of the country known as India.",The city of Jeddah is in Saudi Arabia.,1,Jeddah,Saudi Arabia,Saudi Arabia,The city of Sangli is in India.,1,Sangli,India,India
It is the case both that the city of Gold Coast is in Australia and that the city of Xiaogan is in China.,1,"It is true that the city known as Gold Coast is geographically located within the territorial boundaries of the country called Australia, and simultaneously, it is also the case that the city identified as Xiaogan is situated within the national borders of the country known as China.",The city of Gold Coast is in Australia.,1,Gold Coast,Australia,Australia,The city of Xiaogan is in China.,1,Xiaogan,China,China
It is the case both that the city of Malang is in Indonesia and that the city of Sharjah is in the United Arab Emirates.,1,"It is true that the city known as Malang is geographically situated within the territorial boundaries of the country called Indonesia, and simultaneously, it is also the case that the city identified as Sharjah is located within the national borders of the country known as the United Arab Emirates.",The city of Malang is in Indonesia.,1,Malang,Indonesia,Indonesia,The city of Sharjah is in the United Arab Emirates.,1,Sharjah,United Arab Emirates,United Arab Emirates
It is the case both that the city of Albuquerque is in the United States and that the city of Kermanshah is in Iran.,1,"It is true that the city known as Albuquerque is geographically situated within the territorial boundaries of the country called the United States, and simultaneously, it is also the case that the city identified as Kermanshah is located within the national borders of the country known as Iran.",The city of Albuquerque is in the United States.,1,Albuquerque,United States,United States,The city of Kermanshah is in Iran.,1,Kermanshah,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Recife is in Brazil and that the city of Guiyang is in China.,1,"It is true that the city known as Recife is geographically situated within the territorial boundaries of the country called Brazil, and simultaneously, it is also the case that the city identified as Guiyang is located within the national borders of the country known as China.",The city of Recife is in Brazil.,1,Recife,Brazil,Brazil,The city of Guiyang is in China.,1,Guiyang,China,China
It is the case both that the city of Pretoria is in South Africa and that the city of Qom is in Iran.,1,"It is true that the city known as Pretoria is geographically situated within the territorial boundaries of the country called South Africa, and simultaneously, it is also the case that the city identified as Qom is located within the national borders of the country known as Iran.",The city of Pretoria is in South Africa.,1,Pretoria,South Africa,South Africa,The city of Qom is in Iran.,1,Qom,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Tegucigalpa is in Honduras and that the city of Ipoh is in Malaysia.,1,"It is true that the city known as Tegucigalpa is geographically situated within the territorial boundaries of the country called Honduras, and simultaneously, it is also the case that the city identified as Ipoh is located within the national borders of the country known as Malaysia.",The city of Tegucigalpa is in Honduras.,1,Tegucigalpa,Honduras,Honduras,The city of Ipoh is in Malaysia.,1,Ipoh,Malaysia,Malaysia
It is the case both that the city of Lyon is in France and that the city of Zhaotong is in China.,1,"It is true that the city known as Lyon is geographically situated within the territorial boundaries of the country called France, and simultaneously, it is also the case that the city identified as Zhaotong is located within the national borders of the country known as China.",The city of Lyon is in France.,1,Lyon,France,France,The city of Zhaotong is in China.,1,Zhaotong,China,China
It is the case both that the city of Najran is in Saudi Arabia and that the city of Lilongwe is in Malawi.,1,"It is true that the city known as Najran is geographically situated within the territorial boundaries of the country called Saudi Arabia, and simultaneously, it is also the case that the city identified as Lilongwe is located within the national borders of the country known as Malawi.",The city of Najran is in Saudi Arabia.,1,Najran,Saudi Arabia,Saudi Arabia,The city of Lilongwe is in Malawi.,1,Lilongwe,Malawi,Malawi
It is the case both that the city of Barranquilla is in Colombia and that the city of Indore is in India.,1,"It is true that the city known as Barranquilla is geographically located within the territorial boundaries of the country called Colombia, and simultaneously, it is also the case that the city identified as Indore is situated within the national borders of the country known as India.",The city of Barranquilla is in Colombia.,1,Barranquilla,Colombia,Colombia,The city of Indore is in India.,1,Indore,India,India
It is the case both that the city of Porto Alegre is in Brazil and that the city of Port Said is in Egypt.,1,"It is true that the city known as Porto Alegre is geographically situated within the territorial boundaries of the country called Brazil, and simultaneously, it is also the case that the city identified as Port Said is located within the national borders of the country known as Egypt.",The city of Porto Alegre is in Brazil.,1,Porto Alegre,Brazil,Brazil,The city of Port Said is in Egypt.,1,Port Said,Egypt,Egypt
It is the case both that the city of Lubumbashi is in the Democratic Republic of the Congo and that the city of Nanchong is in China.,1,"It is true that the city known as Lubumbashi is geographically situated within the territorial boundaries of the country officially recognized as the Democratic Republic of the Congo, and simultaneously, it is also the case that the city identified as Nanchong is located within the national borders of the country known as China.",The city of Lubumbashi is in the Democratic Republic of the Congo.,1,Lubumbashi,"Congo, Democratic Republic of the","Congo, Democratic Republic of the",The city of Nanchong is in China.,1,Nanchong,China,China
It is the case both that the city of Krasnoyarsk is in Russia and that the city of Mogadishu is in Somalia.,1,"It is true that the city known as Krasnoyarsk is geographically located within the territorial boundaries of the country called Russia, and simultaneously, it is also the case that the city identified as Mogadishu is situated within the national borders of the country known as Somalia.",The city of Krasnoyarsk is in Russia.,1,Krasnoyarsk,Russian Federation,Russian Federation,The city of Mogadishu is in Somalia.,1,Mogadishu,Somalia,Somalia
It is the case both that the city of Chiclayo is in Peru and that the city of Cancun is in Mexico.,1,"It is true that the city known as Chiclayo is geographically situated within the territorial boundaries of the country called Peru, and simultaneously, it is also the case that the city identified as Cancun is located within the national borders of the country known as Mexico.",The city of Chiclayo is in Peru.,1,Chiclayo,Peru,Peru,The city of Cancun is in Mexico.,1,Cancun,Mexico,Mexico
It is the case both that the city of Krakow is in Poland and that the city of Hubli is in India.,1,"It is true that the city known as Krakow is geographically situated within the territorial boundaries of the country called Poland, and simultaneously, it is also the case that the city identified as Hubli is located within the national borders of the country known as India.",The city of Krakow is in Poland.,1,Krakow,Poland,Poland,The city of Hubli is in India.,1,Hubli,India,India
It is the case both that the city of Santo Domingo Oeste is in the Dominican Republic and that the city of Kayseri is in Turkey.,1,"It is true that the city known as Santo Domingo Oeste is geographically situated within the territorial boundaries of the country referred to as the Dominican Republic, and simultaneously, it is also the case that the city identified as Kayseri is located within the national borders of the country known as Turkey.",The city of Santo Domingo Oeste is in the Dominican Republic.,1,Santo Domingo Oeste,Dominican Republic,Dominican Republic,The city of Kayseri is in Turkey.,1,Kayseri,Turkey,Turkey
It is the case both that the city of Dushanbe is in Tajikistan and that the city of Ipoh is in Malaysia.,1,"It is true that the city known as Dushanbe is geographically situated within the territorial boundaries of the country called Tajikistan, and simultaneously, it is also the case that the city identified as Ipoh is located within the national borders of the country known as Malaysia.",The city of Dushanbe is in Tajikistan.,1,Dushanbe,Tajikistan,Tajikistan,The city of Ipoh is in Malaysia.,1,Ipoh,Malaysia,Malaysia
It is the case both that the city of Porto Alegre is in Brazil and that the city of Kunshan is in China.,1,"It is true that the city known as Porto Alegre is geographically situated within the territorial boundaries of the country called Brazil, and simultaneously, it is also the case that the city identified as Kunshan is located within the national borders of the country known as China.",The city of Porto Alegre is in Brazil.,1,Porto Alegre,Brazil,Brazil,The city of Kunshan is in China.,1,Kunshan,China,China
It is the case both that the city of Queens is in the United States and that the city of Asansol is in India.,1,"It is true that the city known as Queens is geographically located within the territorial boundaries of the country called the United States, and simultaneously, it is also the case that the city identified as Asansol is situated within the national borders of the country known as India.",The city of Queens is in the United States.,1,Queens,United States,United States,The city of Asansol is in India.,1,Asansol,India,India
